Pump,RPM,QL_bpd,Head_ft,DP_psi,BHP_hp,Efficiency,Ns,R2_m,D_in,B1,B2,ZI,ZD,Ptank_psi,Tin_F,QG_bpd,TargetVISL_cp,DENL_kgm3,WC,Comments
TE2700,3500,4600,9.160263115,3.966393929,1.51,0.205557426,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,4700,6.363068569,2.75520869,1.49,0.147850409,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,4800,3.544902466,1.534942768,1.48,0.084689224,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,4900,0.712562387,0.308539514,1.45,0.017737619,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,4920,0.145015688,0.062791793,1.448,0.003629576,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
DN1750,3500,0,30,12.104,0.28,0,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,100,30.5,11.9120607,0.29,0.075,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,200,30.1,11.7393576,0.295,0.15,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,300,29.5,11.5815629,0.297,0.22,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,400,29,11.4343488,0.299,0.29,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,500,28.25,11.2933875,0.3,0.35,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,600,27.5,11.1543512,0.302,0.4,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,700,26.5,11.0129121,0.305,0.45,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,800,26,10.8647424,0.308,0.495,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,900,25,10.7055143,0.31,0.525,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1000,24.5,10.5309,0.32,0.56,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1100,24,10.3365717,0.33,0.59,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1200,23.41,10.12717772,0.339512108,0.609,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1285,22.9,9.906551466,0.345430729,0.627,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1370,22.36,9.672947195,0.350647941,0.643,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1455,21.78,9.422038905,0.355013934,0.657,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1540,21.13,9.140848579,0.358536732,0.668,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1625,20.41,8.829376219,0.360576652,0.677,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1710,19.59,8.474643808,0.3609938,0.683,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1795,18.69,8.085303358,0.360473284,0.685,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1880,17.69,7.652702857,0.358389171,0.683,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,1965,16.61,7.185494316,0.355365605,0.676,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,2050,15.47,6.692329746,0.351532915,0.664,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,2100,14.75,6.38675,0.35,0.66,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,2200,13.5,5.8455,0.345,0.635,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,2300,12.25,5.30425,0.344,0.6,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
DN1750,3500,2400,11,4.763,0.343,0.56,2815,0.0356,4,20.3,36.2,6,8,100,60,0,1,1000,100,none
GC6100,3600,0,56.35103926,24.4,0,0,2815,0.0356,4,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,250,56.08488858,24.28475676,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,500,55.81656228,24.16857147,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,750,55.53026792,24.04460601,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,1000,55.21278296,23.90713502,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,1250,54.85327912,23.75146986,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,1500,54.44314679,23.57388256,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,1750,53.97581929,23.37152975,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,2000,53.44659732,23.14237664,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,2250,52.85247329,22.88512093,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,2500,52.19195565,22.5991168,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,2750,51.4648933,22.2842988,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,3000,50.67229991,21.94110586,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,3250,49.81617829,21.5704052,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,3500,48.89934477,21.17341629,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,3750,47.92525353,20.75163478,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,4000,46.89782097,20.30675648,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,4250,45.82125008,19.84060129,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,4500,44.69985479,19.35503712,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,4750,43.53788433,18.85190391,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,5000,42.33934758,18.3329375,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,5250,41.10783745,17.79969361,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,5500,39.84635523,17.25347181,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,5750,38.55713494,16.69523943,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,6000,37.24146771,16.12555552,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,6250,35.89952612,15.54449481,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,6500,34.53018857,14.95157165,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,6750,33.13086363,14.34566395,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,7000,31.69731441,13.72493714,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,7250,30.22348292,13.0867681,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,7500,28.70131441,12.42766914,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,7750,27.12058177,11.74321191,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,8000,25.46870984,11.02795136,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,8250,23.7305998,10.27534971,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,8500,21.88845353,9.477700379,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,8750,19.92159796,8.626051917,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,9000,17.80630942,7.71013198,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,9250,15.51563803,6.718271268,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,9500,13.01923203,5.637327468,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,9750,10.28316214,4.452609208,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,10000,7.269745958,3.1478,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,10250,3.937372264,1.70488219,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
GC6100,3600,10500,0.24032542,0.104060907,0,0,3220,0.050013,5,33.375,41.387,7,8,100,60,0,1,1000,100,none
Flex31,3600,4500,9.5,4.118511268,7.537011138,31.729779,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,4250,13,5.635857525,7.936917989,44.92706806,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,4000,15.8,6.84973453,8.2680848,54.506024,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,3750,18.1,7.846847785,8.533880898,61.10465156,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,3500,20.1,8.713902789,8.737675613,65.282279,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,3250,22.2,9.624310543,8.88283827,67.51955806,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,3000,24,10.40466005,8.9727382,68.218464,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,2750,25.8,11.18500955,9.01074473,67.70229556,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,2500,27.5,11.9220063,9.000227188,66.215675,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,2250,29.3,12.70235581,8.944554902,63.92454806,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,2000,31.2,13.52605806,8.8470972,60.916184,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,1750,32.7,14.17634931,8.711223411,57.19917556,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,1500,34.5,14.95669882,8.540302863,52.703439,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,1250,36.1,15.65034282,8.337704883,47.28021406,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,1000,37.2,16.12722307,8.1067988,40.702064,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
Flex31,3600,300,36.93,15.99,7.26,14.33,2975,0.039403,4,21.99,57.03,6,8,100,60,0,1,1000,100,none
